s,A(s) (GHz),B(s) (GHz),c (normalized)
0.523,0.10181740,2.77926100,0.47426040
0.524,0.10011460,2.78684000,0.47484370
0.525,0.09841180,2.79443000,0.47542700
0.526,0.09670901,2.80203000,0.47601040
0.527,0.09500623,2.80964000,0.47659370
0.528,0.09330344,2.81726100,0.47717700
0.529,0.09160065,2.82489100,0.47776030
0.530,0.08989787,2.83253300,0.47834360
0.531,0.08838259,2.84018400,0.47894120
0.532,0.08695930,2.84784600,0.47954590
0.533,0.08553602,2.85551800,0.48015050
0.534,0.08411273,2.86320100,0.48075510
0.535,0.08268945,2.87089300,0.48135980
0.536,0.08126616,2.87859600,0.48196440
0.537,0.07984287,2.88631000,0.48256900
0.538,0.07841959,2.89403400,0.48317370
0.539,0.07699630,2.90176800,0.48377830
0.540,0.07557302,2.90951200,0.48438290
0.541,0.07414973,2.91726700,0.48498760
0.542,0.07272645,2.92503200,0.48559220
0.543,0.07130316,2.93280700,0.48619680
0.544,0.06987987,2.94059300,0.48680150
0.545,0.06860864,2.94838900,0.48742090
0.546,0.06744530,2.95619500,0.48805080
0.547,0.06628196,2.96401200,0.48868080
0.548,0.06511861,2.97183900,0.48931070
0.549,0.06395527,2.97967600,0.48994060
0.550,0.06279193,2.98752400,0.49057050
0.551,0.06162858,2.99538200,0.49120050
0.552,0.06046524,3.00325000,0.49183040
0.553,0.05930189,3.01112900,0.49246030
0.554,0.05813855,3.01901700,0.49309020
0.555,0.05697521,3.02691700,0.49372020
0.556,0.05581186,3.03482600,0.49435010
0.557,0.05464852,3.04274600,0.49498000
0.558,0.05348517,3.05067600,0.49560990
0.559,0.05240874,3.05861700,0.49624850
0.560,0.05149168,3.06656700,0.49690310
0.561,0.05057462,3.07452900,0.49755760
0.562,0.04965755,3.08250000,0.49821210
0.563,0.04874049,3.09048200,0.49886660
0.564,0.04782343,3.09847400,0.49952120
0.565,0.04690637,3.10647600,0.50017570
0.566,0.04598931,3.11448900,0.50083020
0.567,0.04507224,3.12251200,0.50148470
0.568,0.04415518,3.13054600,0.50213920
0.569,0.04323812,3.13858900,0.50279380
0.570,0.04232106,3.14664300,0.50344830
0.571,0.04140400,3.15470800,0.50410280
0.572,0.04057184,3.16278200,0.50476900
0.573,0.03982398,3.17086700,0.50544660
0.574,0.03907612,3.17896300,0.50612430
0.575,0.03832826,3.18706800,0.50680200
0.576,0.03758041,3.19518400,0.50747970
0.577,0.03683255,3.20331000,0.50815740
0.578,0.03608469,3.21144700,0.50883510
0.579,0.03533683,3.21959400,0.50951280
0.580,0.03458897,3.22775100,0.51019040
0.581,0.03384111,3.23591900,0.51086810
0.582,0.03309325,3.24409600,0.51154580
0.583,0.03234539,3.25228500,0.51222350
0.584,0.03159753,3.26048300,0.51290120
0.585,0.03087394,3.26869200,0.51358230
0.586,0.03028656,3.27691100,0.51428260
0.587,0.02969918,3.28514100,0.51498300
0.588,0.02911180,3.29338000,0.51568330
0.589,0.02852442,3.30163000,0.51638360
0.590,0.02793704,3.30989100,0.51708400
0.591,0.02734966,3.31816200,0.51778430
0.592,0.02676228,3.32644300,0.51848460
0.593,0.02617490,3.33473400,0.51918500
0.594,0.02558752,3.34303600,0.51988530
0.595,0.02500014,3.35134800,0.52058560
0.596,0.02441276,3.35967000,0.52128600
0.597,0.02385077,3.36800300,0.52199140
0.598,0.02337963,3.37634600,0.52271510
0.599,0.02290848,3.38469900,0.52343880
0.600,0.02243733,3.39306300,0.52416250
0.601,0.02196618,3.40143700,0.52488620
0.602,0.02149503,3.40982100,0.52560990
0.603,0.02102388,3.41821600,0.52633360
0.604,0.02055274,3.42662100,0.52705730
0.605,0.02008159,3.43503600,0.52778110
0.606,0.01961044,3.44346100,0.52850480
0.607,0.01913929,3.45189700,0.52922850
0.608,0.01866814,3.46034300,0.52995220
0.609,0.01819699,3.46880000,0.53067590
0.610,0.01779362,3.47726700,0.53141360
0.611,0.01742897,3.48574400,0.53215920
0.612,0.01706432,3.49423100,0.53290490
0.613,0.01669967,3.50272900,0.53365050
0.614,0.01633501,3.51123700,0.53439620
0.615,0.01597036,3.51975600,0.53514190
0.616,0.01560571,3.52828500,0.53588750
0.617,0.01524106,3.53682400,0.53663320
0.618,0.01487641,3.54537300,0.53737890
0.619,0.01451176,3.55393300,0.53812450
0.620,0.01414711,3.56250300,0.53887020
0.621,0.01381696,3.57108300,0.53962610
0.622,0.01351814,3.57967400,0.54039150
0.623,0.01321932,3.58827500,0.54115680
0.624,0.01292050,3.59688600,0.54192210
0.625,0.01262168,3.60550800,0.54268740
0.626,0.01232285,3.61414000,0.54345280
0.627,0.01202403,3.62278200,0.54421810
0.628,0.01172521,3.63143500,0.54498340
0.629,0.01142639,3.64009800,0.54574870
0.630,0.01112757,3.64877100,0.54651400
0.631,0.01082874,3.65745500,0.54727940
0.632,0.01052992,3.66614800,0.54804470
0.633,0.01026784,3.67485300,0.54882100
0.634,0.01003443,3.68356700,0.54960590
0.635,0.00980103,3.69229200,0.55039090
0.636,0.00956763,3.70102700,0.55117580
0.637,0.00933423,3.70977300,0.55196070
0.638,0.00910082,3.71852900,0.55274560
0.639,0.00886742,3.72729500,0.55353060
0.640,0.00863402,3.73607100,0.55431550
0.641,0.00840061,3.74485800,0.55510040
